IP Address,Is Public,IP Version,Is Whitelisted,Abuse Confidence Score,Country Code,Country Name,Usage Type,ISP,Domain,Hostnames,Is Tor,Total Reports,Distinct Users,Last Reported At
165.232.129.254,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,276,125,2025-11-12T00:44:57+00:00
161.35.230.183,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,f63e2ac286.research-scanner.com,false,313,132,2025-11-12T04:09:55+00:00
104.131.6.219,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,287,125,2025-11-12T15:11:05+00:00
206.189.163.88,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,124,75,2025-11-12T06:27:06+00:00
209.38.144.40,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,280,121,2025-11-12T11:03:10+00:00
137.184.238.238,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,305,138,2025-11-12T07:00:14+00:00
161.35.56.30,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,d214e39804.research-scanner.com,false,313,133,2025-11-12T08:30:12+00:00
143.198.30.148,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,325,147,2025-11-11T23:09:09+00:00
143.110.150.233,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,279,125,2025-11-12T11:03:33+00:00
164.92.168.97,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,292,128,2025-11-12T01:01:17+00:00
142.93.7.213,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,291,129,2025-11-12T02:20:06+00:00
157.245.176.143,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,94f2eca7df.research-scanner.com,false,297,120,2025-11-12T03:25:12+00:00
143.198.70.32,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,286,126,2025-11-12T04:00:15+00:00
64.225.44.164,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,143,91,2025-11-12T07:06:57+00:00
142.93.0.54,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,290,126,2025-11-12T06:25:01+00:00
146.190.241.65,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,281,123,2025-11-12T08:22:41+00:00
129.212.186.47,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,139,86,2025-11-12T11:28:38+00:00
174.138.51.203,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,324,141,2025-11-12T07:00:09+00:00
209.38.136.94,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,304,128,2025-11-12T11:00:40+00:00
137.184.12.175,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,294,126,2025-11-12T09:01:13+00:00
157.245.35.75,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,313,129,2025-11-12T13:36:20+00:00
142.93.13.102,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,320,134,2025-11-12T00:23:46+00:00
